Inés Ovalle Ordóñez Villena																																																																																																																																																																											Don Francisco Sanchez de Navas Mexia						M(?)(?)
Juan Ruiz de Villena Olivares																																																																																																																																																		Inés Ovalle Ordoñez de Ruiz																									Rodrigo Alonso de Segovia					M(?)(?)	
Pedro Ruiz de Villena y Villafuerte																																																																																																																																																	Juana de Olivares																										Don Ruy Sanchez de Cadahalso				M(?)(?)		
Juan Ruiz de Villena																																																																																																																																																María Rodríguez de Villafuerte y Diez de San Miguel																											Fernan Martinez de Cadahalso			Maria de Navas			
Lic. Alonso Ruiz de Villena																																																																																																																																															M(?)(?)																												P(?)(?)		M(?)(?)				
Sancho Ruiz de Villena																																																																																																																																														Isabel Ruiz																																			
Rui Vaz Coutinho, senhor de Ferreira de Aves																																																																																																																																													Branca Manoel de Vilhena																																				
Vasco Fernandes Coutinho, senhor do Couto de Leomil																																																																																																																																												Beatriz Gonçalves de Moura																																					
Fernão Martins da Fonseca Coutinho, 5.º senhor do couto de Leomil																																																																																																																																												Teresa Pires Varela																																					
D. Estevão Martins de Leomil																				Urraca Rodrigues da Fonseca																																																																																																																																																													
D. Martim Vicente																	M(?)(?)			Afonso Rodrigues da Fonseca, o Michom																																																																																																																						Dona Teresa Anes																																							
Vicente Viegas, senhor do Couto de Leomil																Sancha (NN)				Mem Gonçalves da Fonseca																																																																																																																					Maria Pires de Cambra																																								
Egas Garcia da Fonseca, 2º senhor do Couto de Leomil							Maior Pais Romeu													Gonçalo Viegas de Riba Douro																																																																																																																				Teresa (NN)																																									
Garcia Rodrigues da Fonseca, senhor da Honra de Fonseca				Dórida Gonçalves Viegas			Paio Pires Romeu							Goda Soares						Egas Mendes de Riba-Douro																																																																																																																			M(?)(?)																																										
Rodrigo Garcia			M(?)(?)				Pedro Turtezendes						Toda Ermiges da Maia							Mem Viegas																																																																																																																		M(?)(?)																																											
Garcia Moniz Ribadouro, o Gasco		Elvira					Trutezendo Galindes					Animia (NN)								Egas Moniz, o Aio																																										Dórdia Pais Azevedo																																																																																																																			
							Galindo González Gonçalves				Vistregia									Moninho Ermiges, o Gasco, senhor de Ribadouro																																							Ouroana			Payo Godins																																																																						Maria Martins de Vinhal																																													
							Gonzalo Galindez			M(?)(?)										Ermigio Viegas, senhor de Ribadouro																																						Unisco Pais				Guido Viegas de Azevedo																																																																					Maria Soares da Silva																																														
							P(?)(?)		M(?)(?)											Egas Moniz de Ribadouro, o Velho																																					Toda Ermiges da Maia					Egas Gondesendes, senhor de Baião																																																																				Unisco (Useu) Viegas de Varnel																																															
																				Moninho Viegas, o Gasco																																				Valida Trocozendas						Gosendo Arnaldes																																																																			Leuginda Arnaldes de Baião																																																